leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
trump,conflict_threat_framing,rate,0.45471521942110177,0.2857142984867096,0.6666666865348816,0.09269136190414429,3
trump,cooperation_solidarity_framing,rate,0.21638655462184872,0.0,0.47058823704719543,0.11145064979791641,3
trump,past_orientation,rate,0.16176470588235292,0.0,0.25,0.06673300266265869,3
trump,future_orientation,rate,0.17296918767507,0.0,0.4117647111415863,0.100074402987957,3
trump,us_vs_them,rate,0.6468253968253969,0.3333333432674408,1.0,0.15728925168514252,3
trump,gratitude_recognition,rate,0.4185340802987862,0.3333333432674408,0.529411792755127,0.04711431637406349,3
trump,promises_commitments,rate,0.5408496732026143,0.25,0.7058823704719543,0.12011053413152695,3
erdogan,conflict_threat_framing,cos,0.25732354987289374,0.23996765911579132,0.28634095191955566,0.012682165019214153,5
erdogan,cooperation_solidarity_framing,cos,0.30776090704065934,0.2713180184364319,0.34826037287712097,0.019513528794050217,5
erdogan,past_orientation,cos,0.3021885230956044,0.28396567702293396,0.31654444336891174,0.008433327078819275,5
erdogan,future_orientation,cos,0.33111348546117214,0.3095688223838806,0.352713942527771,0.011657859198749065,5
erdogan,us_vs_them,cos,0.245115075010989,0.22035761177539825,0.27033278346061707,0.012981821782886982,5
erdogan,gratitude_recognition,cos,0.28060398279706955,0.25794580578804016,0.3032621443271637,0.011493885889649391,5
erdogan,promises_commitments,cos,0.3115648055369963,0.2908307611942291,0.3310762643814087,0.01042497344315052,5
macron,conflict_threat_framing,cos,0.25745427031528806,0.24644719064235687,0.2728908061981201,0.00666839862242341,4
macron,cooperation_solidarity_framing,cos,0.32908285451142877,0.31432658433914185,0.3405609428882599,0.0071570537984371185,4
macron,past_orientation,cos,0.2933149684883182,0.2827909588813782,0.30383896827697754,0.005720377899706364,4
macron,future_orientation,cos,0.35405982882813675,0.3484434187412262,0.3578997254371643,0.002508600940927863,4
macron,us_vs_them,cos,0.24516627330713936,0.23735995590686798,0.254835307598114,0.004690450616180897,4
macron,gratitude_recognition,cos,0.30910639011407726,0.2851325571537018,0.32949352264404297,0.011129390448331833,4
macron,promises_commitments,cos,0.3391984545186215,0.3262346386909485,0.3482227623462677,0.005561233498156071,4
