chunk_id,speech_id,leader,cluster,membership_probability,outlier_score
macron2024_c003,macron2024,macron,2,1.0,0.0
macron2024_c004,macron2024,macron,6,0.9950802009378592,0.004919799062140763
macron2024_c005,macron2024,macron,-1,0.0,0.22378214510639538
macron2024_c006,macron2024,macron,-1,0.0,0.2501564120280989
macron2024_c007,macron2024,macron,-1,0.0,0.21842430661113316
macron2024_c008,macron2024,macron,-1,0.0,0.2941338902053047
macron2024_c009,macron2024,macron,-1,0.0,0.21842430661113316
macron2024_c010,macron2024,macron,-1,0.0,0.24094099326896967
macron2024_c011,macron2024,macron,-1,0.0,0.21345068180077137
macron2024_c012,macron2024,macron,8,0.9844056725967071,0.015594327403292961
macron2024_c013,macron2024,macron,-1,0.0,0.2559655013241606
macron2024_c014,macron2024,macron,3,1.0,0.0
macron2024_c015,macron2024,macron,-1,0.0,0.30733475029358337
macron2024_c016,macron2024,macron,3,0.9343963416745316,0.06560365832546843
macron2024_c017,macron2024,macron,7,0.9659973732361912,0.03400262676380886
macron2024_c018,macron2024,macron,3,0.9343963416745316,0.06560365832546843
macron2024_c019,macron2024,macron,-1,0.0,0.23451849468769342
macron2024_c020,macron2024,macron,-1,0.0,0.23451849468769342
macron2024_c021,macron2024,macron,-1,0.0,0.23451849468769342
macron2025_c000,macron2025,macron,5,1.0,0.11579336100600404
macron2025_c001,macron2025,macron,-1,0.0,0.2798784678669079
macron2025_c002,macron2025,macron,-1,0.0,0.07297566898353411
macron2025_c003,macron2025,macron,1,1.0,0.0
macron2025_c004,macron2025,macron,-1,0.0,0.2767001190761174
macron2025_c005,macron2025,macron,-1,0.0,0.22863652952028313
macron2025_c006,macron2025,macron,-1,0.0,0.27440411355002586
macron2025_c007,macron2025,macron,-1,0.0,0.22936574171276136
macron2025_c008,macron2025,macron,-1,0.0,0.07947775909685563
macron2025_c009,macron2025,macron,-1,0.0,0.27298705355836883
macron2025_c010,macron2025,macron,5,0.9630975325423307,0.1808830819736212
macron2025_c011,macron2025,macron,5,0.9584283298275729,0.18485425084086643
macron2025_c012,macron2025,macron,3,1.0,0.0
macron2025_c013,macron2025,macron,3,0.9343963416745316,0.06560365832546843
macron2025_c014,macron2025,macron,-1,0.0,0.2580934700040888
macron2025_c015,macron2025,macron,-1,0.0,0.22261833767976066
macron2025_c016,macron2025,macron,5,1.0,0.03315026859931781
merkel1_c000,merkel1,merkel,-1,0.0,0.2229621769173628
merkel1_c001,merkel1,merkel,0,1.0,0.0
merkel1_c002,merkel1,merkel,-1,0.0,0.2302465805218816
merkel1_c003,merkel1,merkel,0,1.0,0.0
merkel1_c004,merkel1,merkel,0,0.9739620526028423,0.026037947397157698
merkel1_c005,merkel1,merkel,-1,0.0,0.3007916894316721
merkel1_c006,merkel1,merkel,-1,0.0,0.28383042986350415
merkel1_c007,merkel1,merkel,-1,0.0,0.24715598189405555
merkel1_c008,merkel1,merkel,-1,0.0,0.226388890417265
merkel1_c009,merkel1,merkel,-1,0.0,0.27524259060627126
merkel1_c010,merkel1,merkel,7,0.9810510226287886,0.018948977371211366
merkel1_c011,merkel1,merkel,-1,0.0,0.23867959253582396
merkel2_c000,merkel2,merkel,1,1.0,0.0
merkel2_c001,merkel2,merkel,-1,0.0,0.24863317255692183
merkel2_c002,merkel2,merkel,1,1.0,0.0
merkel2_c003,merkel2,merkel,-1,0.0,0.2495596095240849
merkel2_c004,merkel2,merkel,-1,0.0,0.07175439594324214
merkel2_c005,merkel2,merkel,-1,0.0,0.08385136648488381
merkel2_c006,merkel2,merkel,-1,0.0,0.0658358454852316
merkel2_c007,merkel2,merkel,-1,0.0,0.24328271793347767
merkel2_c008,merkel2,merkel,3,0.9343963416745316,0.06560365832546843
merkel2_c009,merkel2,merkel,-1,0.0,0.24525397284021208
merkel2_c010,merkel2,merkel,5,1.0,0.0
merkel2020_c000,merkel2020,merkel,5,1.0,0.0
merkel2020_c001,merkel2020,merkel,-1,0.0,0.07167899516437204
merkel2020_c002,merkel2020,merkel,-1,0.0,0.2023753114579447
merkel2020_c003,merkel2020,merkel,-1,0.0,0.21776543375682875
merkel2020_c004,merkel2020,merkel,-1,0.0,0.27727146809113556
merkel2020_c005,merkel2020,merkel,-1,0.0,0.27516093561466093
merkel2020_c006,merkel2020,merkel,-1,0.0,0.2631446169199082
merkel2020_c007,merkel2020,merkel,-1,0.0,0.23865470084389395
merkel2020_c008,merkel2020,merkel,-1,0.0,0.24328271793347767
merkel2020_c009,merkel2020,merkel,3,1.0,0.0
